symbol,sheet_name,startcell,rdim,cdim,type
h,basic,A9,1,0,set
year,basic,B7,0,1,set
headers_time,basic,B8,0,1,set
headers_time_ev,EV,B7,0,1,set
headers_time_heat,heat,D9,0,1,set
headers_time_dhw,heat_dhw,A8,0,1,set
time_data_upload,basic,A6,1,3,par
ev_time_data_upload,EV,A7,1,2,par
reserves_time_data_activation,reserves_activation,A7,1,2,par
reserves_time_data_provision,reserves_provision,A7,1,2,par
dh_upload,heat,C7,1,4,par
theta_night,heat,A11,1,0,par
d_dhw_upload,heat_dhw,A6,1,4,par
nets_profile,NETS,A7,1,0,par
temp_source_upload,heat_pump,A7,1,2,par
